date,policy,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
"March 13, 2020"," The Governor declared a state of emergency for the United States Virgin Islands. Among other actions, the declaration places a moratorium on permits for mass gatherings and cancels the upcoming St. Patricks Day parade on St. Croix."
"March 13, 2020", Department of Licensing and Consumer Affairs Commissioner Richard Evangelista instituted a price freeze until further notice.
"March 16, 2020"," The Governor announced the closure of all public schools through April 14. Under guidance from the Centers for Disease Control and Prevention and the Virgin Islands Department of Health, the Governor also banned gatherings of more than 50 people and postponed the USVI Carnival."
"March 16, 2020", The Virgin Islands Department of Human Services asked all senior citizens to sign up for the Emergency Assistance Senior Registry.
"March 17, 2020"," The Bureau of Motor Vehicles announced new procedures to help limit the spread of COVID-19, including limiting the number of customers permitted at any given time, and online vehicle registration."
"March 18, 2020"," The Governor directed commissionersand directorsto implement different telework, flexible work schedules and social distancing practices until further notice."
"March 19, 2020", The Department of Laborclarified that employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits.
"March 19, 2020"," The Governor, citing CDC guidelines, asked residents to restrict gatherings to 10 persons and practice social distancing. The Governor also asked bars and restaurants to limit service to take-out and pick-up and asks non-essential businesses to limit operations."
"March 20, 2020"," The Governorrequested a Disaster Declaration from the Small Business Administration to mitigate COVID-19, which the Small Business Administration grants the following day."
"March 20, 2020", The Governor sent proposed legislation down to the V.I. Legislature requesting emergency authorization to use public funds and issue bonds and revenue anticipation notes for up to $60 million to fight COVID-19 in the USVI.
"March 21, 2020", Governor Bryan advised residents to stay at home and all non-essential businesses to close.
"March 23, 2020","The Governorissueda stay-at-home order and orders all non-essential business to remain closed, beginning March 25, 2020. The order also officially limits gatherings to 10 persons or fewer, closes all bars, prohibits restaurants from offering dining room service and limits taxis and safaris to half-capacity passenger loads. The order also limits the Government of the Virgin Islands to non-essential operations, suspends all landlord requests for rent and/or evictions and allows Government employee retirees to re-enter the workforce with having to sacrifice their retirement benefits."
"March 24, 2020", The Virgin Islands Tourism Department announced its temporary closure.
"March 25, 2020"," The Virgin Islands Department of Education announced it will begin distributing breakfast and lunch on March 26 to students attending all public, private and parochial schools in its No V.I. Child Goes Hungry feeding initiative."
"March 26, 2020"," Government of the Virgin Islands agencies and departmentschangedtheir operations to suspend in-person services, and instead direct residents to their websites to keep Government obligations and services active."
"March 26, 2020",Governor Bryanhostedan informal town hall meeting with residents via social media; thousands of residents participate.
"March 27, 2020",Governor Bryanissueda proclamation calling for a Day of Prayer in the USVI.
"March 27, 2020", The Governor announced that 12 pallets of medical supplies related to COVID-19 containment have arrived in the Territory and says more are on the way.
