date,policy
"April 10, 2020"," The Governor signed an executive order moving Maines primary election from Tuesday, June 9, 2020 to Tuesday, July 14, 2020. The order allows applications for absentee ballots to be made in writing or in person, without specifying a reason, up to and including the day of the election."
"April 13, 2020"," The Governor joined a coalition of Governors from Delaware, Illinois, Michigan, Montana, New Jersey, New Mexico, North Carolina, Oregon, Pennsylvania, Virginia and Wisconsin in writing to U.S. Department of Health and Human Services (HHS) Secretary Alex Azar and Centers for Medicare and Medicaid Services (CMS) Administrator Seema Verma to ask the Administration to reconsider its decision and take action to allow for a special enrollment period of at least 30 days on the federal health care exchange."
"April 14, 2020",The Governor wrote a letter urging U.S. Secretary of Agriculture Sonny Perdue to coordinate a nationwide strategy to increase the amount of food available to emergency food programs and to address gaps in the food supply chain.
"April 14, 2020"," The Governor signed a proclamation extending Maines state of civil emergency for another thirty days through May 15, 2020."
"April 16, 2020"," The Governor signed an executive order that will prevent the immediate eviction of tenants other than those who engage in dangerous or unlawful conduct for the duration of the state of emergency. The Governor also strengthened the penalties for landlords who may try to evict tenants by unlawful means, and she extended the timeframe for the eviction process in the event that the Courts reopen before the Governors state of emergency is terminated."
"April 16, 2020"," The Governor in partnership with MaineHousing, announced a new rental assistance relief program for Maine people who cannot pay their rent due to COVID-19."
"April 22, 2020"," The Governor announced that nearly $11 million in federal funds will support access to child care for Maines essential workers, including health care professionals and first responders, and offer relief for child care providers. "
"April 23, 2020"," The Governor announced her vision for the gradual reopening of Maine, it includes: Protecting public health Maintaining healthcare readiness Building reliable and accessible testing Prioritizing private-public collaboration"
"April 27, 2020", The Governor announced that the Consensus Economic Forecasting Commission (CEFC) and the Revenue Forecasting Committee (RFC) will convene off cycle to examine the economic ramifications of COVID-19 on State governments revenues.
"April 28, 2020"," The Governor shared a plan to gradually and safely restart Maines economy. The plan establishes four gradual stages of reopening, the first of which begins May 1st. The stages focus on the ability of a business to operate or an activity to occur in a manner that protects public health and safety. The Maine CDC will be tracking three primary metrics in its evaluation of whether or not to progress through the stages: 1) a downward trajectory of influenza-like illnesses and COVID-like syndromic cases; 2) a downward trajectory of documented cases and newly hospitalized patients; and 3) the capacity of Maines hospital systems to treat all patients without crisis care and the ability of the state to engage in a robust testing program."
"April 29, 2020"," The Governor signed an executive order extending the stay-at-home order until May 31st. However, it now allows citizens to visit businesses or participate in activities deemed safe to open under Stage 1 of the reopening plan."
"May 6, 2020"," The Governor announced that she is convening an Economic Recovery Committee charged with developing recommendations to mitigate the damage to Maines economy caused by the ongoing COVID-19 pandemic and to jumpstart a long-term economic recovery for Maine people, businesses, and organizations."
"May 7, 2020"," The Governor announced that the state has partnered with Maine-based IDEXX Laboratories, Inc. to purchase enough of the companys recently authorized COVID-19 testing kits to more than triple the States testing capacity."
"May 8, 2020", The Governor announced a rural reopening plan aimed at reopening certain additional businesses in rural Maine over the course of the next two weeks with added health and safety measures. The plan comes after the Governor stated that her Administration was considering opportunities for regional variation as part of its Restarting Maines Economy plan.
"May 13, 2020"," The Maine Department of Health and Human Services (DHHS) launched a statewide campaign to promote awareness of affordable health insurance options, particularly for people whose employment or income has been affected by the COVID-19 pandemic."
"May 13, 2020"," The Governor signed a proclamation extending Maines state of civil emergency for thirty days through June 11, 2020."
"May 14, 2020"," The Governor announced that, effective immediately, Maine lodging providers can begin accepting future reservations for stays with an arrival date of June 1st and beyond for Maine residents and for non-residents who comply with the States 14-day quarantine requirement."
"May 15, 2020", The Governor and the Maine Education Commissioner announced that the Maine Department of Education has secured internet access and devices to facilitate at home learning for 100 percent of Maine school children for whom there was a reported need.
"May 18, 2020"," The Maine Emergency Management Agency (MEMA) provided 1,900 cloth face coverings to the Maine Association of Broadcasters (MAB) for distribution to the states broadcast media outlets."
"May 19, 2020"," The Governor announced the following updates to the plan to restart Maines economy:Maine residents may enjoy campgrounds beginning Memorial Day weekend;The Administration is delaying the full reopening of gyms, fitness centers, and nail salons in light of emerging research and experiences in other states of COVID-19 transmission related to these establishments."
"May 21, 2020"," The Governor announced that the State of Maine has received $52.7 million in Federal grant funding from the U.S. Centers for Disease Control and Prevention (U.S. CDC) to bolster epidemiological and laboratory capacity to respond to infectious diseases, particularly COVID-19. The state will use this funding to enhance its ability to prevent, detect, and mitigate the spread of COVID-19 by expanding lab capacity and testing sites across Maine in the coming weeks and months."
"May 26, 2020"," The Governor announced that the Maine Department of Health and Human Services (DHHS) is significantly expanding contact tracing by increasing the number of skilled staff and volunteers, harnessing innovative technology, and securing social services to help people with COVID-19 maintain self-isolation."
"May 27, 2020"," The Governor announced that she is postponing the full reopening of restaurants for dine-in services in York, Cumberland, and Androscoggin counties. The decision to limit their reopening comes amidst an increase in hospitalizations as well as an increase in case counts in these three counties."
"May 27, 2020", The Governor announced that Moodys Investors Service and Standard & Poors Global Ratings (S&P) have affirmed their credit ratings and outlooks on the State of Maines general obligation debt. Moodys affirmed both their Aa2 rating and stable outlook on Maines debt. S&P affirmed their AA rating and stable outlook.
"May 30, 2020"," The Governor has directed the Maine Department of Corrections (MDOC) to offer to purchase perishable and non-perishable food from restaurants in York, Cumberland, and Androscoggin counties that are unable to open to indoor dining as a result of measures to protect public health and mitigate the spread of COVID-19."
"June 8, 2020"," The Governor announced that the state will quadruple COVID-19 testing capacity at the State lab, develop testing sites throughout Maine, and allow more people in Maine with elevated risk of exposure to get tested for the virus. This dramatically expanded testing capacity will come online in July."
"June 8, 2020"," The Governor announced an alternative to the States 14-day quarantine requirement for people entering Maine. The plan rests on three cornerstones: 1) having visitors certify that they have received a recent negative COVID-19 test to stay in lodging establishments, such as hotels, as an alternative to quarantine; 2) increasing symptom checks at places where visitors tend to go; and 3) supporting community promotion of COVID-19 prevention best practices and public health education."
"June 10, 2020", The Governor signed a renewal of the states civil emergency for thirty days through July 10th.
"June 12, 2020"," The Maine Department of Health and Human Services (DHHS) announced that 525 essential workers have received financial help for child care and more than 1,600 child care providers have received stipends as part of the nearly $11 million in federal CARES Act funding awarded to Maine. Additional grants will be awarded to child care providers through mid-July."
"June 12, 2020"," The Governor announced that indoor dining in Androscoggin, Cumberland, and York counties can voluntarily resume on Wednesday, June 17, 2020 with added health and safety protocols outlined in the COVID-19 Prevention Checklist."
"June 12, 2020"," The Governor released a detailed guidance for Maine local governing bodies to hold gatherings, such as annual town meetings, school budget meetings, and elections, during the COVID-19 pandemic."
"June 22, 2020", The Governor urged the USDA to designate maple syrup as an eligible Coronavirus Food Assistance Program (CFAP) specialty crop. Doing so will create the pathway for Maines maple producers to receive needed CFAP payments.
"June 22, 2020", The Governor announced that her administration is postponing the reopening of indoor service at bars to protect public health given the higher risk of COVID-19 transmission in such settings.
"June 24, 2020", The Governor posted additional COVID-19 Prevention Checklists for businesses and activities to voluntarily resume on July 1 as part of Stage 3 of the Administrations Restarting Maines Economy Plan .
"June 24, 2020", The Governor announced that her administration is dedicating $35 million of Maines $1.25 billion in Coronavirus Relief Funding (CRF) provided through the CARES Act to help local and tribal governments and other qualified entities cover costs incurred as a result of COVID-19.
"June 29, 2020"," The Governor announced that her Administration has approved almost $9 million in grant awards to nearly 100 municipalities across the state under the Keep Maine Healthy Plan to support local COVID-19 public health, education, and prevention effort."
