ObjectID,CountyGNIS,GEOIDFIPS,LandAreaSQM,WaterAreaSQM,Name,State,TotalPop,TotalPopMOE,NonHispWhPop,NonHispWhMOE,BlackPop,BlackPopMOE,AmIndop,AmeIndPopMOE,AsianPop,AsianPopMOE,PacIslPop,PacIslPopMOE,OtherPop,OtherPopMOE,TwoMorPop,TwoMorPopMOE,HispPop,HispPopMOE,PCPopNWh,PCPopNWhMOE,PCPopBk,PPCPopBkMOE,PCPopAI,PCPopAIMOEMOE,PCPopAs,PCPopAsMOE,PPCPopPI,PCPopPIMOE,PCPopOr,PCPopOrMOE,PCPopTm,CPopTmMOE,PCPopHL,PCPopHLMOE,ShpArea,ShpLength
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,55200,,41412,59,10475,212,159,68,568,166,5,11,41,59,1012,251,1528,,75,,19,,0.3,,1,,0,,0.1,,1.8,,2.8,,2208587881.37109,249970.191752144
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,208107,,172768,227,19529,317,1398,315,1668,360,9,13,410,288,2972,585,9353,,83,,9.4,,0.7,,0.8,,0,,0.2,,1.4,,4.5,,5909266212.63867,536067.253712654
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,25782,,11898,22,12199,184,63,40,85,38,1,3,86,69,344,161,1106,,46.1,,47.3,,0.2,,0.3,,0,,0.3,,1.3,,4.3,,3257906792.11719,320882.847872505
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,22527,,16801,22,4974,97,8,16,37,54,0,22,0,22,160,89,547,,74.6,,22.1,,0,,0.2,,0,,0,,0.7,,2.4,,2311990190.34766,227919.418077913
5,00161530,01009,1670103911,15015423,Blount County,Alabama,57645,,50232,229,820,159,124,67,198,33,18,32,174,229,818,166,5261,,87.1,,1.4,,0.2,,0.3,,0,,0.3,,1.4,,9.1,,2456904166.71094,292630.284060331
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,10352,,2228,19,7893,146,122,139,56,71,0,19,2,4,0,19,51,51,21.5,,76.2,,1.2,,0.5,,0,,0,,0,,0.5,,2262904557.83203,249092.796454924
7,00161532,01013,2012002530,2701198,Butler County,Alabama,20025,,10384,22,9027,106,2,4,231,44,0,22,0,22,314,94,67,43,51.9,,45.1,,0,,1.2,,0,,0,,1.6,,0.3,,2794760969.16016,221283.357174484
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,115098,,83423,34,23618,387,227,83,1065,146,9,14,38,28,2515,444,4203,,72.5,,20.5,,0.2,,0.9,,0,,0,,2.2,,3.7,,2300902614.21484,263501.631686755
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,33826,,18872,2,13319,159,97,43,405,38,0,25,18,29,347,159,768,,55.8,,39.4,,0.3,,1.2,,0,,0.1,,1,,2.3,,2222662394.16406,208606.04126474
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,25853,,23730,22,1267,76,236,130,42,47,0,22,0,22,180,136,398,,91.8,,4.9,,0.9,,0.2,,0,,0,,0.7,,1.5,,2276002222.62109,237079.593329762
11,00161536,01021,1794477075,20592144,Chilton County,Alabama,43930,,35205,93,4112,333,39,178,190,61,0,25,80,93,888,383,3416,,80.1,,9.4,,0.1,,0.4,,0,,0.2,,2,,7.8,,2578838446.35938,248662.819870603
12,00161537,01023,2365869835,19144469,Choctaw County,Alabama,13075,,7370,11,5570,75,9,9,13,22,0,19,5,11,35,28,73,63,56.4,,42.6,,0.1,,0.1,,0,,0,,0.3,,0.6,,3327536436.76953,324953.780900945
13,00161538,01025,3207494111,36657891,Clarke County,Alabama,24387,,12895,22,11173,91,25,30,123,22,0,22,0,22,123,73,48,43,52.9,,45.8,,0.1,,0.5,,0,,0,,0.5,,0.2,,4492990575.58203,455174.014660338
14,00161539,01027,1564251835,5285207,Clay County,Alabama,13378,,10740,19,1971,61,119,36,18,22,0,19,26,31,89,62,415,,80.3,,14.7,,0.9,,0.1,,0,,0.2,,0.7,,3.1,,2251227966.53125,244308.318960607
15,00161540,01029,1450663940,2354896,Cleburne County,Alabama,14938,,13839,21,393,73,39,65,3,6,0,19,11,21,291,76,362,,92.6,,2.6,,0.3,,0,,0,,0.1,,1.9,,2.4,,2103518979.38281,264791.830113937
16,00161541,01031,1758565925,3907189,Coffee County,Alabama,51288,,36223,56,8746,281,581,92,666,102,0,28,41,56,1482,315,3549,,70.6,,17.1,,1.1,,1.3,,0,,0.1,,2.9,,6.9,,2426766492.56055,203468.714204781
17,00161542,01033,1535202321,79700277,Colbert County,Alabama,54495,,42865,35,8561,277,367,160,244,47,29,34,18,29,1062,291,1349,,78.7,,15.7,,0.7,,0.4,,0.1,,0,,1.9,,2.5,,2394898982.87891,262716.072807352
18,00161543,01035,2202007854,6632046,Conecuh County,Alabama,12514,,6274,5,5961,140,56,46,18,19,0,19,2,5,98,87,105,108,50.1,,47.6,,0.4,,0.1,,0,,0,,0.8,,0.8,,3042810028.46875,309795.324323222
19,00161544,01037,1685850815,39987271,Coosa County,Alabama,10855,,7084,19,3713,49,8,12,0,19,0,19,0,19,0,19,50,48,65.3,,34.2,,0.1,,0,,0,,0,,0,,0.5,,2456907511.82813,209661.848143481
20,00161545,01039,2669129020,34231390,Covington County,Alabama,37351,,31146,25,4790,90,58,70,144,39,13,21,0,25,596,114,604,,83.4,,12.8,,0.2,,0.4,,0,,0,,1.6,,1.6,,3710244596.48438,288483.993245891
21,00161546,01041,1576952799,5388561,Crenshaw County,Alabama,13865,,9869,19,3147,146,106,22,188,19,0,19,0,19,280,146,275,,71.2,,22.7,,0.8,,1.4,,0,,0,,2,,2,,2194020470.01953,286131.192658528
22,00161547,01043,1903073019,52422496,Cullman County,Alabama,82313,,75826,97,954,85,348,155,334,145,0,28,9,13,1299,237,3543,,92.1,,1.2,,0.4,,0.4,,0,,0,,1.6,,4.3,,2861199973.71094,295393.698572935
23,00161548,01045,1453244553,4082940,Dale County,Alabama,49255,,34005,187,9611,206,300,121,533,102,4,6,244,210,1488,254,3070,,69,,19.5,,0.6,,1.1,,0,,0.5,,3,,6.2,,2007843647.92188,200998.099538079
24,00161549,01047,2534919599,39124778,Dallas County,Alabama,40029,,11024,25,28119,44,10,19,224,21,4,8,0,25,236,48,412,,27.5,,70.2,,0,,0.6,,0,,0,,0.6,,1,,3615260196,375473.730286447
25,00161550,01049,2012676479,4121543,DeKalb County,Alabama,71200,,57441,24,979,146,910,239,140,71,99,117,11,20,1400,277,10220,,80.7,,1.4,,1.3,,0.2,,0.1,,0,,2,,14.4,,2973816217.28125,274854.189809442
26,00161551,01051,1601769095,99957723,Elmore County,Alabama,81212,,59471,210,17148,233,186,92,392,133,0,28,197,210,1471,281,2347,,73.2,,21.1,,0.2,,0.5,,0,,0.2,,1.8,,2.9,,2404342479.34766,273321.890650105
27,00161552,01053,2448115119,20504948,Escambia County,Alabama,37328,,22480,40,11912,263,1435,82,135,157,72,86,39,40,417,178,838,,60.2,,31.9,,3.8,,0.4,,0.2,,0.1,,1.1,,2.2,,3379387383.74609,290489.662700962
28,00161553,01055,1386373604,34568854,Etowah County,Alabama,102939,,80374,87,15816,194,424,144,739,92,66,71,80,87,1560,234,3880,,78.1,,15.4,,0.4,,0.7,,0.1,,0.1,,1.5,,3.8,,2074844355.44141,252624.543003905
29,00161554,01057,1625693290,4330881,Fayette County,Alabama,16585,,14042,19,1858,169,0,19,108,68,6,13,0,19,286,146,285,,84.7,,11.2,,0,,0.7,,0,,0,,1.7,,1.7,,2362301178.78516,222371.137854213
30,00161555,01059,1641841406,32643981,Franklin County,Alabama,31542,,24313,29,1338,96,159,101,119,6,0,25,17,29,263,129,5333,,77.1,,4.2,,0.5,,0.4,,0,,0.1,,0.8,,16.9,,2467990458.33984,210530.791585919
31,00161556,01061,1487897666,11578163,Geneva County,Alabama,26491,,22235,22,2468,125,191,58,109,16,4,7,0,22,457,139,1027,,83.9,,9.3,,0.7,,0.4,,0,,0,,1.7,,3.9,,2051355953.93555,212054.232495095
32,00161557,01063,1675782061,33416141,Greene County,Alabama,8426,,1445,17,6707,230,48,81,0,17,0,17,0,17,83,87,143,193,17.1,,79.6,,0.6,,0,,0,,0,,1,,1.7,,2428713179.70703,429975.263144862
33,00161558,01065,1667907112,32423361,Hale County,Alabama,14887,,5898,25,8743,143,29,45,39,41,0,19,16,25,32,49,130,128,39.6,,58.7,,0.2,,0.3,,0,,0.1,,0.2,,0.9,,2411244652.80859,299733.019814239
34,00161559,01067,1454926621,16986823,Henry County,Alabama,17124,,11805,19,4727,101,4,7,0,19,0,19,0,19,140,101,448,,68.9,,27.6,,0,,0,,0,,0,,0.8,,2.6,,2031500362.63281,199590.210860261
35,00161560,01069,1501854593,4683050,Houston County,Alabama,104352,,69826,37,27887,153,277,77,848,54,13,20,75,38,1989,171,3437,,66.9,,26.7,,0.3,,0.8,,0,,0.1,,1.9,,3.3,,2063524545.63281,246322.916472465
36,00161561,01071,2791974056,126334709,Jackson County,Alabama,52094,,46537,64,1799,162,545,174,215,47,77,81,50,65,1366,225,1505,,89.3,,3.5,,1,,0.4,,0.1,,0.1,,2.6,,2.9,,4336075572.34766,321761.353755189
37,00161562,01073,2878465205,32885044,Jefferson County,Alabama,659892,,330862,187,280748,1302,1265,318,10169,659,206,27,1465,656,10129,1379,25048,,50.1,,42.5,,0.2,,1.5,,0,,0.2,,1.5,,3.8,,4203101810.00781,349817.587901535
38,00161563,01075,1566544637,1600679,Lamar County,Alabama,13933,,11981,19,1558,134,0,19,0,19,0,19,107,136,69,61,218,,86,,11.2,,0,,0,,0,,0.8,,0.5,,1.6,,2275683857.05469,206364.687286958
39,00161564,01077,1730146083,133608930,Lauderdale County,Alabama,92585,,78501,52,9183,255,417,121,612,64,61,48,109,89,1290,302,2412,,84.8,,9.9,,0.5,,0.7,,0.1,,0.1,,1.4,,2.6,,2777329096.22266,282882.832493455
40,00161565,01079,1788864247,68682382,Lawrence County,Alabama,33171,,25390,46,3615,218,1878,326,44,63,24,34,0,25,1513,372,707,,76.5,,10.9,,5.7,,0.1,,0.1,,0,,4.6,,2.1,,2743021919.28125,238127.799836436
41,00161566,01081,1573548952,21492291,Lee County,Alabama,159287,,107395,191,36389,425,226,107,6475,183,0,28,295,184,2642,477,5865,,67.4,,22.8,,0.1,,4.1,,0,,0.2,,1.7,,3.7,,2253830311.14453,241954.273404353
42,00161567,01083,1450277885,122329729,Limestone County,Alabama,93052,,71554,13,12405,291,821,160,1163,234,0,28,1,2,1629,400,5479,,76.9,,13.3,,0.9,,1.2,,0,,0,,1.8,,5.9,,2338327186.48828,207527.333722469
43,00161568,01085,1854201378,23721835,Lowndes County,Alabama,10236,,2505,19,7586,89,13,20,0,19,0,19,0,19,62,57,70,47,24.5,,74.1,,0.1,,0,,0,,0,,0.6,,0.7,,2627716453.60938,283872.006649389
44,00161569,01087,1576855717,11345392,Macon County,Alabama,19054,,2972,19,15583,52,43,33,50,46,0,19,9,14,69,37,328,,15.6,,81.8,,0.2,,0.3,,0,,0,,0.4,,1.7,,2233558454.41406,249787.078615968
45,00161570,01089,2076091216,28831382,Madison County,Alabama,357560,,232115,339,85293,901,1847,295,8992,410,307,51,1066,434,10646,1056,17294,,64.9,,23.9,,0.5,,2.5,,0.1,,0.3,,3,,4.8,,3126309012.84766,296070.745865922
46,00161572,01091,2530140238,14966620,Marengo County,Alabama,19538,,8791,12,10518,120,51,31,0,19,0,19,7,12,56,31,115,119,45,,53.8,,0.3,,0,,0,,0,,0.3,,0.6,,3568505149.59375,316844.292338662
47,00161573,01093,1922656563,3184076,Marion County,Alabama,29965,,27559,22,1047,116,122,54,49,41,0,22,0,22,436,138,752,,92,,3.5,,0.4,,0.2,,0,,0,,1.5,,2.5,,2818112579.11719,229609.411959372
48,00161574,01095,1465531860,148495464,Marshall County,Alabama,95145,,77297,99,2456,133,334,104,570,103,46,37,90,86,1391,175,12961,,81.2,,2.6,,0.4,,0.6,,0,,0.1,,1.5,,13.6,,2374683772.87891,273836.393231646
49,00161575,01097,3184053031,1074031983,Mobile County,Alabama,414659,,236987,284,146600,731,2872,375,8117,422,62,50,1315,484,6733,771,11973,,57.2,,35.4,,0.7,,2,,0,,0.3,,1.6,,2.9,,4477922412.57031,405280.145591683
50,00161576,01099,2656469661,22609681,Monroe County,Alabama,21512,,11689,22,8774,171,346,47,120,22,0,22,0,22,281,185,302,,54.3,,40.8,,1.6,,0.6,,0,,0,,1.3,,1.4,,3702031799.06641,338515.224590141
51,00161577,01101,2033918497,37844005,Montgomery County,Alabama,226941,,78393,55,130513,437,283,103,6059,357,39,39,189,105,3716,574,7749,,34.5,,57.5,,0.1,,2.7,,0,,0.1,,1.6,,3.4,,2903090615.05859,314570.852873089
52,00161578,01103,1500612908,50921199,Morgan County,Alabama,119122,,90497,95,15141,293,713,268,775,134,48,62,89,97,2168,377,9691,,76,,12.7,,0.6,,0.7,,0,,0.1,,1.8,,8.1,,2287416989.81641,219739.802854538
53,00161579,01105,1863900621,10937769,Perry County,Alabama,9486,,2798,17,6569,66,6,9,21,26,0,17,3,5,0,17,89,60,29.5,,69.2,,0.1,,0.2,,0,,0,,0,,0.9,,2651390368.48438,263849.820698382
54,00161580,01107,2282893837,22521210,Pickens County,Alabama,20298,,10925,17,8148,138,25,37,13,22,8,12,8,17,239,134,932,,53.8,,40.1,,0.1,,0.1,,0,,0,,1.2,,4.6,,3307614767.1875,273490.938193237
55,00161581,01109,1740647518,2336975,Pike County,Alabama,33403,,18765,36,12661,463,209,56,715,69,3,5,21,36,766,472,263,114,56.2,,37.9,,0.6,,2.1,,0,,0.1,,2.3,,0.8,,2420437487.48438,268538.659533627
56,00161582,01111,1503615935,9285419,Randolph County,Alabama,22574,,16991,24,4413,223,51,64,68,73,51,79,13,22,322,151,665,,75.3,,19.5,,0.2,,0.3,,0.2,,0.1,,1.4,,2.9,,2171211713.6875,193440.073938846
57,00161583,01113,1660577613,15641643,Russell County,Alabama,58213,,27354,255,24787,571,160,129,451,125,72,105,240,268,2029,582,3120,,47,,42.6,,0.3,,0.8,,0.1,,0.4,,3.5,,5.4,,2352315369.38281,253463.903004362
58,00164997,01115,1635844944,56400695,St. Clair County,Alabama,87306,,75109,25,8212,235,285,133,700,120,8,16,0,28,903,282,2089,,86,,9.4,,0.3,,0.8,,0,,0,,1,,2.4,,2452171882.90234,299794.585675884
59,00161584,01117,2034112797,62537787,Shelby County,Alabama,211261,,165058,219,25166,423,468,194,4249,400,47,28,471,275,3677,594,12125,,78.1,,11.9,,0.2,,2,,0,,0.2,,1.7,,5.7,,3006956234.38672,302557.440202231
60,00161585,01119,2340898915,24634883,Sumter County,Alabama,12985,,3201,19,9345,272,8,13,338,261,0,19,51,78,29,30,13,19,24.7,,72,,0.1,,2.6,,0,,0.4,,0.2,,0.1,,3341843979.5625,370364.708843604
61,00161586,01121,1908256939,60926366,Talladega County,Alabama,80565,,50655,55,25992,332,301,124,450,102,28,34,70,63,1251,381,1818,,62.9,,32.3,,0.4,,0.6,,0,,0.1,,1.6,,2.3,,2831600616.83203,328094.435899996
62,00161587,01123,1855782851,128806123,Tallapoosa County,Alabama,40636,,28000,25,11012,138,130,67,155,103,0,25,0,25,385,191,954,,68.9,,27.1,,0.3,,0.4,,0,,0,,0.9,,2.3,,2820620529,267238.896996963
63,00161588,01125,3421009204,78715350,Tuscaloosa County,Alabama,206213,,127767,153,65058,301,283,110,3282,202,73,81,114,118,2199,366,7437,,62,,31.5,,0.1,,1.6,,0,,0.1,,1.1,,3.6,,5022107909.70313,349036.903561862
64,00161589,01127,2048686080,36754696,Walker County,Alabama,64493,,57475,113,3954,170,55,35,309,81,0,28,80,113,1075,191,1545,,89.1,,6.1,,0.1,,0.5,,0,,0.1,,1.7,,2.4,,3028059181.13672,288090.552895587
65,00161590,01129,2797720360,21652733,Washington County,Alabama,16643,,10835,19,4086,226,1218,184,62,56,0,19,0,19,260,217,182,181,65.1,,24.6,,7.3,,0.4,,0,,0,,1.6,,1.1,,3882445643.76563,315920.425012384
66,00161591,01131,2301075082,49057525,Wilcox County,Alabama,10809,,2901,19,7511,383,11,12,0,19,0,19,0,19,316,367,70,51,26.8,,69.5,,0.1,,0,,0,,0,,2.9,,0.6,,3276690218.39453,319240.88317316
67,00161592,01133,1587608920,48922726,Winston County,Alabama,23875,,22428,7,90,53,93,48,31,44,9,15,0,22,490,84,734,,93.9,,0.4,,0.4,,0.1,,0,,0,,2.1,,3.1,,2395470338.79297,202010.472289908
68,01419964,02013,18091255385,20800268276,Aleutians East Borough,Alaska,3425,,515,85,117,93,1322,208,878,127,25,21,0,9,222,42,346,94,15,,3.4,,38.6,,25.6,,0.7,,0,,6.5,,10.1,,57988814463.2422,5512875.92804876
69,01419965,02016,11375510886,25186009907,Aleutians West Census Area,Alaska,5750,,1389,4,246,67,634,24,2270,74,147,13,4,4,262,49,798,,24.2,,4.3,,11,,39.5,,2.6,,0.1,,4.6,,13.9,,33090197584.9219,5411096.0573271
70,01416061,02020,4419562836,615500204,Anchorage Municipality,Alaska,296112,,173209,354,15671,611,20443,946,27938,864,6694,362,800,417,24510,1469,26847,,58.5,,5.3,,6.9,,9.4,,2.3,,0.3,,8.3,,9.1,,19380075767.0625,672638.798442835
71,01419966,02050,105228817205,12768645652,Bethel Census Area,Alaska,18040,,1794,15,119,38,14838,140,187,58,3,6,0,15,670,163,429,,9.9,,0.7,,82.3,,1,,0,,0,,3.7,,2.4,,463153739542.203,6120351.04001263
72,01419967,02060,1248324005,949768219,Bristol Bay Borough,Alaska,890,89,480,59,4,5,291,52,3,4,2,4,0,9,78,26,32,18,53.9,3.85476781986707,0.4,0.559997114354028,32.7,4.84214913873815,0.3,0.448172374723126,0.2,0.448876052931195,0,1.01123595505618,8.8,2.78678867829669,3.6,1.99025526521209,4947586178.10938,395185.400163874
73,01419988,02068,32729577065,66105677,Denali Borough,Alaska,2232,380,1810,387,18,19,44,24,101,79,0,9,5,8,245,113,9,15,81.1,10.4890428128711,0.8,0.840109007615877,2,1.02154892882368,4.5,3.45456554298721,0,0.403225806451613,0.2,0.356388057134203,11,4.7051870878622,0.4,0.668527521437083,166086211455.984,2084360.41694508
74,01419968,02070,47478023796,5950680491,Dillingham Census Area,Alaska,4975,,789,9,67,83,3534,112,76,14,3,5,0,9,333,79,173,,15.9,,1.3,,71,,1.5,,0.1,,0,,6.7,,3.5,,193785317923.547,3005281.3002592
75,01419969,02090,18983364355,273047179,Fairbanks North Star Borough,Alaska,99653,,70188,58,4250,304,6693,610,2924,266,525,85,88,151,7034,661,7951,,70.4,,4.3,,6.7,,2.9,,0.5,,0.1,,7.1,,8,,105839847341.703,1883222.38846847
76,01419970,02100,6059513753,1051059522,Haines Borough,Alaska,2518,,1959,124,1,3,212,97,74,57,4,9,0,9,171,86,97,62,77.8,,0,,8.4,,2.9,,0.2,,0,,6.8,,3.9,,23546460639.7813,1575503.88105948
77,02371430,02105,16981566503,7801359160,Hoonah-Angoon Census Area,Alaska,2132,,921,105,65,46,769,107,60,46,3,5,0,9,172,39,142,70,43.2,,3,,36.1,,2.8,,0.1,,0,,8.1,,6.7,,64508853782.1875,4480798.60983596
78,01419971,02110,7002973758,1426663852,Juneau City and Borough,Alaska,32330,,21023,12,321,49,3414,445,2129,147,320,84,102,135,2898,476,2123,,65,,1,,10.6,,6.6,,1,,0.3,,9,,6.6,,26787525677.8125,1310322.37257351
79,01419972,02122,41500185165,22525337842,Kenai Peninsula Borough,Alaska,58220,,46954,72,317,70,4376,312,886,156,194,30,103,75,3015,392,2375,,80.6,,0.5,,7.5,,1.5,,0.3,,0.2,,5.2,,4.1,,173757544102.828,5387068.32744792
80,01419973,02130,12579243763,4651750442,Ketchikan Gateway Borough,Alaska,13804,,8838,21,103,27,1934,146,1025,73,5,8,60,51,1138,156,701,,64,,0.7,,14,,7.4,,0,,0.4,,8.2,,5.1,,41844694584.8359,2701956.56715356
81,01419974,02150,17133720200,14166823224,Kodiak Island Borough,Alaska,13649,,6753,81,27,26,1767,174,3141,126,57,48,44,73,641,210,1219,,49.5,,0.2,,12.9,,23,,0.4,,0.3,,4.7,,8.9,,64115805224.4766,5417192.86627998
82,01419985,02158,44221226622,6694349084,Kusilvak Census Area,Alaska,8198,,298,13,23,19,7457,84,32,8,2,2,3,4,302,53,81,67,3.6,,0.3,,91,,0.4,,0,,0,,3.7,,1,,213996578067.234,2830671.57528556
83,01419975,02164,61893966490,25992281749,Lake and Peninsula Borough,Alaska,1375,380,305,108,9,17,916,258,34,33,5,6,2,3,85,42,19,21,22.2,4.91059513365009,0.7,1.22305883846255,66.6,3.62145143955599,2.5,2.30065269981387,0.4,0.424633728879293,0.1,0.214446726892611,6.2,2.53209709848173,1.4,1.47875838688348,254288809718.344,4979189.17011695
84,01419976,02170,64008421559,1456871464,Matanuska-Susitna Borough,Alaska,103464,,82220,224,1022,170,5751,415,1433,188,195,73,207,190,7692,524,4944,,79.5,,1,,5.6,,1.4,,0.2,,0.2,,7.4,,4.8,,299004198684.109,2490228.34526098
85,01419977,02180,59497122355,13774270048,Nome Census Area,Alaska,9925,,1464,13,83,6,7322,115,155,63,43,31,0,13,605,139,253,,14.8,,0.8,,73.8,,1.6,,0.4,,0,,6.1,,2.5,,341680164458.391,5865380.99621596
86,01419978,02185,230054122583,15549060273,North Slope Borough,Alaska,9797,,3043,13,75,42,5068,232,540,46,169,12,0,13,695,194,207,97,31.1,,0.8,,51.7,,5.5,,1.7,,0,,7.1,,2.1,,1860491616263.28,8421377.23973595
87,01419979,02188,92329079390,12875662550,Northwest Arctic Borough,Alaska,7734,,842,13,77,30,6379,72,76,12,0,13,0,13,271,69,89,50,10.9,,1,,82.5,,1,,0,,0,,3.5,,1.2,,624220682210.047,6156004.49676529
88,02516404,02195,7512557785,2385954337,Petersburg Borough,Alaska,3255,,2050,168,23,13,221,55,299,80,17,13,1,3,307,72,337,158,63,,0.7,,6.8,,9.2,,0.5,,0,,9.4,,10.4,,26269885972.8516,1725774.6606272
89,01419980,02198,13630515350,14624992705,Prince of Wales-Hyder Census Area,Alaska,6474,,2936,10,24,21,2533,87,76,16,41,4,9,9,611,81,244,,45.4,,0.4,,39.1,,1.2,,0.6,,0.1,,9.4,,3.8,,47146292466.9063,4992258.21905898
90,01419981,02220,7433305216,5037858065,Sitka City and Borough,Alaska,8738,,5409,39,88,25,1045,124,619,53,8,12,3,5,1000,143,566,,61.9,,1,,12,,7.1,,0.1,,0,,11.4,,6.5,,27897608038.5469,1802690.02547465
91,02339479,02230,1123881121,28784118,Skagway Municipality,Alaska,1061,123,887,153,7,12,45,35,19,16,0,9,3,4,45,25,55,31,83.6,10.6779466662134,0.7,1.12841939771119,4.2,3.26192592877971,1.8,1.49365331759764,0,0.848256361922714,0.3,0.375575118481315,4.2,2.30439651891411,5.2,2.85930277925248,4395316222.34375,336093.9301033
92,01419983,02240,64290686975,751965527,Southeast Fairbanks Census Area,Alaska,6876,,5106,11,24,18,907,85,156,20,0,13,0,13,302,87,381,,74.3,,0.3,,13.2,,2.3,,0,,0,,4.4,,5.5,,334340575482.063,3647125.98267626
93,01419984,02261,88634324631,15756537958,Valdez-Cordova Census Area,Alaska,9301,,6478,41,25,23,1186,145,327,133,57,8,25,29,737,205,466,,69.6,,0.3,,12.8,,3.5,,0.6,,0.3,,7.9,,5,,401591306578.383,7908873.33892582
94,02516402,02275,6619997013,2384375232,Wrangell City and Borough,Alaska,2484,,1642,99,2,3,434,75,69,52,9,11,0,9,207,71,121,69,66.1,,0.1,,17.5,,2.8,,0.4,,0,,8.3,,4.9,,22626817467.3281,1922739.9743436
95,01419986,02282,19744199346,3986129001,Yakutat City and Borough,Alaska,689,79,292,53,2,3,189,40,57,38,16,14,0,9,83,21,50,29,42.4,5.96314026330005,0.3,0.434139726221998,27.4,4.87971563023596,8.3,5.43305676600415,2.3,2.01440949451181,0,1.30624092888244,12,2.71695862919644,7.3,4.12593409570625,81581519476.7891,2321908.75708135
96,01419987,02290,377034650847,5949465694,Yukon-Koyukuk Census Area,Alaska,5415,,1160,13,7,7,3782,57,33,22,0,13,0,13,302,60,131,,21.4,,0.1,,69.8,,0.6,,0,,0,,5.6,,2.4,,2229517147987.16,9554857.11261355
97,00025441,04001,29001320728,54152352,Apache County,Arizona,71522,,13102,9,513,132,52307,231,286,78,14,16,21,34,834,285,4445,,18.3,,0.7,,73.1,,0.4,,0,,0,,1.2,,6.2,,43841251943.957,1216526.3408797
98,00025442,04003,15966170808,137020196,Cochise County,Arizona,126279,,69712,214,4455,297,1253,147,2333,214,420,56,291,221,3217,404,44598,,55.2,,3.5,,1,,1.8,,0.3,,0.2,,2.5,,35.3,,22398309927.6758,602279.432404722
99,00025443,04005,48222143094,110123852,Coconino County,Arizona,140217,,75820,254,1704,247,36365,365,2767,263,176,62,267,206,3452,620,19666,,54.1,,1.2,,25.9,,2,,0.1,,0.2,,2.5,,14,,73715558700.6875,1566346.57898277
100,00040471,04007,12323152727,97113523,Gila County,Arizona,53400,,33335,90,305,92,8410,207,471,47,0,29,0,29,887,249,9992,,62.4,,0.6,,15.7,,0.9,,0,,0,,1.7,,18.7,,18033449149.8047,1032960.87322976
101,00025444,04009,11972737302,47477716,Graham County,Arizona,37879,,19286,26,683,73,4745,150,246,50,51,37,0,26,415,142,12453,,50.9,,1.8,,12.5,,0.6,,0.1,,0,,1.1,,32.9,,17111337160.5664,667694.354667089
102,00042807,04011,4770701075,13750464,Greenlee County,Arizona,9504,,4474,17,203,7,369,30,29,30,0,17,0,17,15,12,4414,,47.1,,2.1,,3.9,,0.3,,0,,0,,0.2,,46.4,,6854440756.25,439776.01386027
103,00043540,04012,11653985203,36563337,La Paz County,Arizona,20701,,11973,23,168,59,2346,107,158,29,8,13,0,23,434,120,5614,,57.8,,0.8,,11.3,,0.8,,0,,0,,2.1,,27.1,,16946237190.5156,707065.076658779
104,00037026,04013,23825949527,64236947,Maricopa County,Arizona,4253913,,2368876,1082,220519,2237,67454,1180,172890,1858,8337,429,6437,1136,98309,3349,1311091,,55.7,,5.2,,1.6,,4.1,,0.2,,0.2,,2.3,,30.8,,34330874951.1836,979770.626313001
105,00025445,04015,34475503959,387309657,Mohave County,Arizona,206064,,159907,159,2030,238,4344,300,2427,186,446,122,159,157,3270,458,33481,,77.6,,1,,2.1,,1.2,,0.2,,0.1,,1.6,,16.2,,52998207642.8633,1333680.77072898
106,00042808,04017,25770094216,24078113,Navajo County,Arizona,108705,,45073,152,788,89,47144,373,685,111,87,47,117,119,2482,409,12329,,41.5,,0.7,,43.4,,0.6,,0.1,,0.1,,2.3,,11.3,,38921018795.3906,1146846.30194954
107,00025446,04019,23794796847,5251370,Pima County,Arizona,1019722,,531149,261,32824,773,25076,717,28133,695,1374,246,1180,253,23160,1184,376826,,52.1,,3.2,,2.5,,2.8,,0.1,,0.1,,2.3,,37,,33259803091.0469,863247.545925678
108,00025447,04021,13897458216,22344375,Pinal County,Arizona,419721,,239869,198,17529,652,17488,897,7075,361,1320,157,494,405,10573,1131,125373,,57.1,,4.2,,4.2,,1.7,,0.3,,0.1,,2.5,,29.9,,19802558766.293,716193.736512302
109,00040472,04023,3203613240,3088046,Santa Cruz County,Arizona,46584,,6928,23,100,71,99,100,392,72,0,26,18,23,148,112,38899,,14.9,,0.2,,0.2,,0.8,,0,,0,,0.3,,83.5,,4426158533.95313,297984.920868519
110,00042809,04025,21039796371,11501576,Yavapai County,Arizona,224645,,181227,68,1224,150,2659,294,2166,210,191,122,132,111,4585,406,32461,,80.7,,0.5,,1.2,,1,,0.1,,0.1,,2,,14.4,,31146019028.3359,899620.791758941
